DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-4582.941648248086        338145.2239944034         -145557.0219659148        57727.98773100697         
-4598.233332987922        347241.1000103843         -149514.8656907073        57728.01898100697         
-4613.472105662036        356318.0877742592         -153464.5314774274        57728.05023100697         
-4628.65940837097         365377.1434823412         -157406.433364544         57728.08148100697         
-4643.796628999319        374419.1507443899         -161340.9539444953        57728.11273100697         
-4658.885103780208        383444.9278659002         -165268.4475196491        57728.14398100697         
-4673.926119712726        392455.2342293214         -169189.2428676806        57728.17523100697         
-4688.92091686553         401450.7759058031         -173103.6456734498        57728.20648100697         
-4703.870690527851        410432.2106072046         -177011.940674885         57728.23773100697         
-4718.776593241595        419400.1520700048         -180914.3935626289        57728.26898100697         
-4733.639736744055        428355.1739481282         -184811.2526668667        57728.30023100697         
-4748.461193783027        437297.8132798825         -188702.7504595308        57728.33148100697         
-4763.241999834805        446228.5735841114         -192589.1048958045        57728.36273100697         
-4777.983154751659        455147.9276324578         -196470.5206152822        57728.39398100697         
-4792.685624301577        464056.3199379831         -200347.1900201676        57728.42523100697         
-4807.350341628135        472954.1689944863         -204219.2942454298        57728.45648100697         
-4821.978208656607        481841.8692960546         -208087.0040337538        57728.48773100697         
-4836.570097395733        490719.7931625834         -211950.4805263506        57728.51898100697         
-4851.126851205159        499588.2923931899         -215809.8759792399        57728.55023100697         
-4865.649285978076        508447.6997669233         -219665.3344133232        57728.58148100697         
-4880.138191265384        517298.3304074592         -223516.9922055174        57728.61273100697         
-4894.594331361744        526140.4830263461         -227364.978627296         57728.64398100697         
-4909.018446320733        534974.4410577535         -231209.4163361837        57728.67523100697         
-4923.411252921181        543800.47369592           -235050.421825092         57728.70648100697         
-4937.773445603118        552618.8368451459         -238888.1058337947        57728.73773100697         
-4952.105697342552        561429.7739912109         -242722.5737263254        57728.76898100697         
-4966.408660485335        570233.5170018862         -246553.9258376558        57728.80023100697         
-4980.682967556692        579030.2868633398         -250382.2577926316        57728.83148100697         
-4994.929232017828        587820.2943586529         -254207.6607997969        57728.86273100697         
-5009.148048988094        596603.7406938071         -258030.221922461         57728.89398100697         
-5023.339995947583        605380.8180759223         -261850.0243291135        57728.92523100697         
-5037.505633393817        614151.7102481853         -265667.1475250444        57728.95648100697         
-5051.645505469373        622916.5929852859         -269481.667566856         57728.98773100697         
-5065.760140573618        631675.6345527602         -273293.6572613752        57729.01898100697         
-5079.850051934607        640428.996133492          -277103.1863503051        57729.05023100697         
-5093.915738156362        649176.8322241146         -280910.3216818397        57729.08148100697         
-5107.957683753112        657919.291003775          -284715.1273703414        57729.11273100697         
-5121.976359648964        666656.5146776764         -288517.6649450607        57729.14398100697         
-5135.972223656669        675388.6397974005         -292317.9934887984        57729.17523100697         
-5149.945720945499        684115.7975598106         -296116.1697673261        57729.20648100697         
-5163.897284479194        692838.1140863665         -299912.2483502884        57729.23773100697         
-5177.827335436098        701555.7106843212         -303706.281724259         57729.26898100697         
-5191.736283620849        710268.7040911313         -307498.3203985657        57729.30023100697         
-5205.624527845182        718977.2067035357         -311288.4130044179        57729.33148100697         
-5219.492456306173        727681.326792246          -315076.6063878614        57729.36273100697         
-5233.34044694015         736381.1687034945         -318862.9456970042        57729.39398100697         
-5247.16886776295         745076.8330483359         -322647.4744639387        57729.42523100697         
-5260.978077202481        753768.4168805229         -326430.2346817515        57729.45648100697         
-5274.768424411422        762456.0138639006         -330211.2668769606        57729.48773100697         
-5288.540249568191        771139.7144300021         -333990.6101777091        57729.51898100697         
-5302.293884170771        779819.6059264621         -337768.3023780186        57729.55023100697         
-5316.029651313763        788495.772757006          -341544.3799983607        57729.58148100697         
-5329.747865955404        797168.2965135354         -345318.8783428067        57729.61273100697         
-5343.448835177649        805837.2561007702         -349091.8315529884        57729.64398100697         
-5357.132858432349        814502.7278540725         -352863.2726590748        57729.67523100697         
-5370.800227778826        823164.7856508425         -356633.2336279631        57729.70648100697         
-5384.451228114481        831823.5010158356         -360401.7454088755        57729.73773100697         
-5398.086137394153        840478.943220922          -364168.8379765141        57729.76898100697         
-5411.705226842098        849131.1793795804         -367934.5403719365        57729.80023100697         
-5425.308761156775        857780.2745363933         -371698.8807413034        57729.83148100697         
-5438.896998706854        866426.2917519795         -375461.8863726148        57729.86273100697         
-5452.47019172088         875069.2921835885         -379223.5837305703        57729.89398100697         
-5466.028586469372        883709.3351615523         -382983.9984896693        57729.92523100697         
-5479.572423440446        892346.4782619717         -386743.1555656486        57729.95648100697         
-5493.101937509997        900980.7773758052         -390501.0791453612        57729.98773100697         
-5506.617358103787        909612.2867745005         -394257.7927151944        57730.01898100697         
-5520.118909355248        918241.0591725074         -398013.3190881034        57730.05023100697         
-5533.6068102586          926867.1457867827         -401767.6804293431        57730.08148100697         
-5547.081274813252        935490.5963933978         -405520.8982809804        57730.11273100697         
-5560.542512165976        944111.4593815447         -409272.993585246         57730.14398100697         
-5573.990726749078        952729.7818050183         -413023.9867067947        57730.17523100697         
-5587.426118409094        961345.6094312544         -416773.8974539418        57730.20648100697         
-5600.848882535248        969958.9867881862         -420522.7450989209        57730.23773100697         
-5614.259210184478        978569.9572089749         -424270.5483972223        57730.26898100697         
-5627.657288196172        987178.5628746634         -428017.3256060671        57730.30023100697         
-5641.043299308556        995784.8448549958         -431763.0945020526        57730.33148100697         
-5654.417422272149        1004388.843147437         -435507.8723980192        57730.36273100697         
-5667.779831952042        1012990.596714414         -439251.6761591831        57730.39398100697         
-5681.130699433641        1021590.143519018         -442994.5222185664        57730.42523100697         
-5694.47019212594         1030187.520559163         -446736.4265917625        57730.45648100697         
-5707.798473852627        1038782.763900232         -450477.4048910773        57730.48773100697         
-5721.115704948455        1047375.908706402         -454217.4723390697        57730.51898100697         
-5734.422042353505        1055966.989270664         -457956.6437815232        57730.55023100697         
-5747.717639694274        1064556.039043532         -461694.9336998859        57730.58148100697         
-5761.00264737176         1073143.090660631         -465432.3562231926        57730.61273100697         
-5774.277212647753        1081728.175969167         -469168.925139499         57730.64398100697         
-5787.541479716918        1090311.32605325          -472904.6539068611        57730.67523100697         
-5800.795589787524        1098892.571258276         -476639.5556638667        57730.70648100697         
-5814.039681160704        1107471.941214335         -480373.6432397474        57730.73773100697         
-5827.273889294374        1116049.464858627         -484106.9291640978        57730.76898100697         
-5840.498346877484        1124625.170457069         -487839.4256762086        57730.80023100697         
-5853.713183903008        1133199.085625064         -491571.1447340355        57730.83148100697         
-5866.918527724502        1141771.237347394         -495302.0980228291        57730.86273100697         
-5880.114503124581        1150341.651997435         -499032.2969634295        57730.89398100697         
-5893.301232382363        1158910.355355626         -502761.7527202456        57730.92523100697         
-5906.478835323341        1167477.372627187         -506490.4762089382        57730.95648100697         
-5919.647429382727        1176042.728459237         -510218.4781038131        57730.98773100697         
-5932.807129667977        1184606.446957282         -513945.7688449381        57731.01898100697         
-5945.958049002569        1193168.551701021         -517672.3586450045        57731.05023100697         
-5959.100297984791        1201729.065759653         -521398.2574959314        57731.08148100697         
-5972.233985045887        1210288.011706617         -525123.475175232         57731.11273100697         
-5985.359216488267        1218845.411633747         -528848.021252156         57731.14398100697         
-5998.476096540258        1227401.287164978         -532571.9050936052        57731.17523100697         
-6011.584727410349        1235955.65946957          -536295.1358698419        57731.20648100697         
-6024.685209320302        1244508.549274802         -540017.7225600005        57731.23773100697         
-6037.777640556302        1253059.97687829          -543739.6739574011        57731.26898100697         
-6050.862117519739        1261609.962159866         -547460.9986746788        57731.30023100697         
-6063.938734755642        1270158.524592997         -551181.7051487413        57731.33148100697         
-6077.007585000611        1278705.68325587          -554901.8016455518        57731.36273100697         
-6090.068759230535        1287251.456842105         -558621.2962647508        57731.39398100697         
-6103.122346684692        1295795.863671034         -562340.1969441231        57731.42523100697         
-6116.168434910851        1304338.921697711         -566058.5114639149        57731.45648100697         
-6129.207109810221        1312880.648522577         -569776.2474510031        57731.48773100697         
-6142.238455657594        1321421.061400756         -573493.4123829349        57731.51898100697         
-6155.262555146684        1329960.177251099         -577210.0135918274        57731.55023100697         
-6168.279489418668        1338498.012664908         -580926.0582681434        57731.58148100697         
-6181.289338106585        1347034.583914406         -584641.5534643423        57731.61273100697         
-6194.29217935062         1355569.906960874         -588356.5060984185        57731.64398100697         
-6207.288089837703        1364103.997462583         -592070.9229573217        57731.67523100697         
-6220.277144841164        1372636.870782481         -595784.810700269         57731.70648100697         
-6233.259418232688        1381168.541995568         -599498.175861956         57731.73773100697         
-6246.234982519968        1389699.025896109         -603211.0248556652        57731.76898100697         
-6259.203908884506        1398228.337004616         -606923.3639762732        57731.80023100697         
-6272.166267190455        1406756.489574557         -610635.1994031741        57731.83148100697         
-6285.122126020557        1415283.497598917         -614346.5372031051        57731.86273100697         
-6298.071552712279        1423809.374816559         -618057.383332887         57731.89398100697         
-6311.014613363765        1432334.134718333         -621767.7436420859        57731.92523100697         
-6323.951372868232        1440857.790553056         -625477.6238755892        57731.95648100697         
-6336.881894948651        1449380.355333319         -629187.0296761054        57731.98773100697         
-6349.806242160959        1457901.841841056         -632895.9665865932        57732.01898100697         
-6362.724475927133        1466422.262633009         -636604.4400526148        57732.05023100697         
-6375.636656568525        1474941.630046035         -640312.455424618         57732.08148100697         
-6388.542843306566        1483459.95620219          -644020.0179601579        57732.11273100697         
-6401.443094294604        1491977.253013737         -647727.1328260499        57732.14398100697         
-6414.337466650109        1500493.532187995         -651433.8051004565        57732.17523100697         
-6427.226016452963        1509008.805231998         -655140.0397749231        57732.20648100697         
-6440.108798780102        1517523.083457086         -658845.8417563484        57732.23773100697         
-6452.985867717418        1526036.377983325         -662551.2158689017        57732.26898100697         
-6465.857276394332        1534548.699743837         -666256.1668558834        57732.30023100697         
-6478.723076979103        1543060.059488948         -669960.6993815384        57732.33148100697         
-6491.583320708398        1551570.467790282         -673664.8180328133        57732.36273100697         
-6504.438057917271        1560079.935044728         -677368.5273210654        57732.39398100697         
-6517.287338032393        1568588.471478255         -681071.8316837301        57732.42523100697         
-6530.131209600821        1577096.087149672         -684774.735485936         57732.45648100697         
-6542.969720319225        1585602.791954281         -688477.2430220768        57732.48773100697         
-6555.802917025117        1594108.595627381         -692179.3585173442        57732.51898100697         
-6568.630845724932        1602613.507747738         -695881.0861292175        57732.55023100697         
-6581.453551622655        1611117.537740943         -699582.4299489089        57732.58148100697         
-6594.271079109123        1619620.694882649         -703283.3940027786        57732.61273100697         
-6607.083471789489        1628122.988301755         -706983.9822537052        57732.64398100697         
-6619.890772511189        1636624.426983523         -710684.198602421         57732.67523100697         
-6632.693023351542        1645125.019772549         -714384.046888817         57732.70648100697         
-6645.490265649281        1653624.775375716         -718083.5308932073        57732.73773100697         
-6658.282540009075        1662123.702365041         -721782.6543375653        57732.76898100697         
-6671.069886333278        1670621.809180479         -725481.4208867236        57732.80023100697         
-6683.852343807293        1679119.104132594         -729179.8341495479        57732.83148100697         
-6696.629950925908        1687615.595405221         -732877.8976800789        57732.86273100697         
-6709.402745520174        1696111.291058054         -736575.6149786409        57732.89398100697         
-6722.170764741172        1704606.199029119         -740272.9894929302        57732.92523100697         
-6734.934045085984        1713100.327137236         -743970.02461907          57732.95648100697         
-6747.692622424199        1721593.683084419         -747666.7237026391        57732.98773100697         
-6760.446531980173        1730086.274458166         -751363.0900396797        57733.01898100697         
-6773.195808358674        1738578.108733741         -755059.1268776756        57733.05023100697         
-6785.940485571084        1747069.193276401         -758754.8374165052        57733.08148100697         
-6798.680597016199        1755559.535343518         -762450.2248093776        57733.11273100697         
-6811.41617551076         1764049.142086706         -766145.2921637389        57733.14398100697         
-6824.147253289665        1772538.020553857         -769840.0425421605        57733.17523100697         
-6836.873862036839        1781026.177691169         -773534.4789632021        57733.20648100697         
-6849.596032864208        1789513.620345063         -777228.6044022597        57733.23773100697         
-6862.313796336784        1798000.355264112         -780922.4217923884        57733.26898100697         
-6875.027182498341        1806486.389100913         -784615.9340251057        57733.30023100697         
-6887.736220849043        1814971.728413874         -788309.1439511792        57733.33148100697         
-6900.44094037039         1823456.379669002         -792002.0543813932        57733.36273100697         
-6913.141369550696        1831940.349241658         -795694.6680872955        57733.39398100697         
-6925.837536361492        1840423.643418207         -799386.9878019313        57733.42523100697         
-6938.529468287865        1848906.268397699         -803079.0162205569        57733.45648100697         
-6951.217192326032        1857388.230293471         -806770.7560013368        57733.48773100697         
-6963.900735014104        1865869.535134741         -810462.209766025         57733.51898100697         
-6976.580122406867        1874350.188868124         -814153.3801006321        57733.55023100697         
-6989.255380100444        1882830.197359146         -817844.2695560765        57733.58148100697         
-7001.926533257532        1891309.566393737         -821534.8806488179        57733.61273100697         
-7014.593606581027        1899788.30167963          -825225.2158614809        57733.64398100697         
-7027.256624338632        1908266.408847792         -828915.2776434629        57733.67523100697         
-7039.915610388012        1916743.893453802         -832605.0684115251        57733.70648100697         
-7052.57058814933         1925220.76097917          -836294.5905503763        57733.73773100697         
-7065.221580635744        1933697.016832675         -839983.8464132394        57733.76898100697         
-7077.868610448795        1942172.666351627         -843672.8383224063        57733.80023100697         
-7090.511699809345        1950647.714803151         -847361.5685697792        57733.83148100697         
-7103.150870528698        1959122.167385384         -851050.039417405         57733.86273100697         
-7115.786144033129        1967596.029228693         -854738.2530979923        57733.89398100697         
-7128.417541388982        1976069.305396859         -858426.2118154187        57733.92523100697         
-7141.045083272773        1984542.000888205         -862113.9177452306        57733.95648100697         
-7153.668789995731        1993014.12063673          -865801.3730351279        57733.98773100697         
-7166.288681528886        2001485.669513227         -869488.5798054381        57734.01898100697         
-7178.904777472198        2009956.652326331         -873175.5401495851        57734.05023100697         
-7191.517097085441        2018427.073823593         -876862.2561345438        57734.08148100697         
-7204.125659281732        2026896.938692503         -880548.7298012859        57734.11273100697         
-7216.730482658853        2035366.251561515         -884234.963165216         57734.14398100697         
-7229.33158546714         2043835.017001015         -887920.9582166005        57734.17523100697         
-7241.928985634086        2052303.239524298         -891606.7169209867        57734.20648100697         
-7254.522700789497        2060770.923588532         -895292.2412196088        57734.23773100697         
-7267.112748232468        2069238.073595659         -898977.5330297946        57734.26898100697         
-7279.699144962606        2077704.693893322         -902662.5942453543        57734.30023100697         
-7292.281907672447        2086170.78877575          -906347.4267369695        57734.33148100697         
-7304.86105277912         2094636.36248464          -910032.0323525644        57734.36273100697         
-7317.436596390176        2103101.419209996         -913716.4129176817        57734.39398100697         
-7330.008554328352        2111565.963090971         -917400.5702358409        57734.42523100697         
-7342.576942156816        2120029.998216704         -921084.5060888914        57734.45648100697         
-7355.141775144192        2128493.5286271           -924768.2222373663        57734.48773100697         
-7367.703068289387        2136956.558313624         -928451.7204208148        57734.51898100697         
-7380.260836346892        2145419.091220093         -932135.0023581407        57734.55023100697         
-7392.815093791026        2153881.131243402         -935818.0697479293        57734.58148100697         
-7405.365854847702        2162342.682234286         -939500.9242687665        57734.61273100697         
-7417.913133485457        2170803.747998037         -943183.5675795539        57734.64398100697         
-7430.456943447628        2179264.332295233         -946866.0013198154        57734.67523100697         
-7442.997298215583        2187724.438842411         -950548.2271100003        57734.70648100697         
-7455.534211033731        2196184.071312771         -954230.2465517819        57734.73773100697         
-7468.067694934993        2204643.233336849         -957912.0612283415        57734.76898100697         
-7480.597762703318        2213101.928503163         -961593.6727046601        57734.80023100697         
-7493.124426905835        2221560.160358865         -965275.0825277923        57734.83148100697         
-7505.647699883044        2230017.932410376         -968956.2922271444        57734.86273100697         
-7518.167593781367        2238475.248124014         -972637.3033147386        57734.89398100697         
-7530.684120514748        2246932.11092659          -976318.1172854807        57734.92523100697         
-7543.197291789864        2255388.524206014         -979998.7356174176        57734.95648100697         
-7555.707119131765        2263844.491311885         -983679.1597719872        57734.98773100697         
-7568.213613844822        2272300.01555606          -987359.391194273         57735.01898100697         
-7580.716787045287        2280755.100213222         -991039.431313244         57735.05023100697         
-7593.216649650698        2289209.748521431         -994719.2815419972        57735.08148100697         
-7605.713212412823        2297663.963682683         -998398.94327799          57735.11273100697         
-7618.206485877762        2306117.748863423         -1002078.417903273        57735.14398100697         
-7630.696480411362        2314571.107195079         -1005757.706784717        57735.17523100697         
-7643.183206225061        2323024.041774585         -1009436.811274233        57735.20648100697         
-7655.666673335373        2331476.55566487          -1013115.732708992        57735.23773100697         
-7668.146891596858        2339928.651895367         -1016794.472411639        57735.26898100697         
-7680.623870690832        2348380.333462488         -1020473.031690506        57735.30023100697         
-7693.09762015867         2356831.60333012          -1024151.411839813        57735.33148100697         
-7705.568149360553        2365282.464430073         -1027829.614139875        57735.36273100697         
-7718.035467501103        2373732.919662555         -1031507.639857301        57735.39398100697         
-7730.499583655375        2382182.971896625         -1035185.490245188        57735.42523100697         
-7742.960506727086        2390632.62397063          -1038863.166543315        57735.45648100697         
-7755.418245481916        2399081.878692646         -1042540.66997833         57735.48773100697         
-7767.872808535623        2407530.738840904         -1046218.001763936        57735.51898100697         
-7780.32420438766         2415979.207164223         -1049895.163101073        57735.55023100697         
-7792.772441378718        2424427.286382407         -1053572.155178098        57735.58148100697         
-7805.21752772423         2432874.979186664         -1057248.97917096         57735.61273100697         
-7817.659471502154        2441322.288239996         -1060925.636243372        57735.64398100697         
-7830.098280686763        2449769.216177608         -1064602.12754698         57735.67523100697         
-7842.533963105565        2458215.765607274         -1068278.454221533        57735.70648100697         
-7854.966526465225        2466661.939109727         -1071954.617395044        57735.73773100697         
-7867.39597837779         2475107.739239034         -1075630.618183952        57735.76898100697         
-7879.822326317174        2483553.168522956         -1079306.457693278        57735.80023100697         
-7892.245577652944        2491998.229463311         -1082982.137016787        57735.83148100697         
-7904.665739637614        2500442.924536324         -1086657.657237132        57735.86273100697         
-7917.082819440672        2508887.256192986         -1090333.019426011        57735.89398100697         
-7929.496824104525        2517331.226859382         -1094008.224644313        57735.92523100697         
-7941.90776057843         2525774.838937035         -1097683.273942261        57735.95648100697         
-7954.315635705525        2534218.094803234         -1101358.16835956         57735.98773100697         
-7966.720456256973        2542660.996811366         -1105032.908925529        57736.01898100697         
-7979.122228887417        2551103.547291223         -1108707.496659249        57736.05023100697         
-7991.520960161116        2559545.748549324         -1112381.932569691        57736.08148100697         
-8003.916656578307        2567987.60286923          -1116056.217655853        57736.11273100697         
-8016.309324530317        2576429.112511831         -1119730.352906892        57736.14398100697         
-8028.698970333696        2584870.279715663         -1123404.33930225         57736.17523100697         
-8041.085600216839        2593311.10669719          -1127078.177811786        57736.20648100697         
-8053.469220354304        2601751.5956511           -1130751.869395893        57736.23773100697         
-8065.849836821491        2610191.748750587         -1134425.41500563         57736.26898100697         
-8078.227455628878        2618631.568147627         -1138098.815582837        57736.30023100697         
-8090.60208270844         2627071.055973263         -1141772.072060258        57736.33148100697         
-8102.973723948016        2635510.214337868         -1145445.185361652        57736.36273100697         
-8115.342385145635        2643949.045331413         -1149118.156401915        57736.39398100697         
-8127.708072035786        2652387.551023731         -1152790.986087189        57736.42523100697         
-8140.070790315805        2660825.733464777         -1156463.675314975        57736.45648100697         
-8152.430545599985        2669263.594684875         -1160136.224974242        57736.48773100697         
-8164.787343453897        2677701.136694974         -1163808.635945535        57736.51898100697         
-8177.141189380452        2686138.361486893         -1167480.909101085        57736.55023100697         
-8189.492088854201        2694575.271033564         -1171153.045304906        57736.58148100697         
-8201.840047275309        2703011.867289267         -1174825.045412904        57736.61273100697         
-8214.185070003905        2711448.152189867         -1178496.910272978        57736.64398100697         
-8226.527162346027        2719884.127653045         -1182168.640725116        57736.67523100697         
-8238.866329588021        2728319.795578526         -1185840.237601498        57736.70648100697         
-8251.202576950109        2736755.157848299         -1189511.701726588        57736.73773100697         
-8263.535909620714        2745190.216326843         -1193183.033917233        57736.76898100697         
-8275.866332742304        2753624.97286134          -1196854.234982755        57736.80023100697         
-8288.193851445756        2762059.429281889         -1200525.305725042        57736.83148100697         
-8300.518470803729        2770493.587401716         -1204196.246938641        57736.86273100697         
-8312.840195856887        2778927.449017388         -1207867.059410848        57736.89398100697         
-8325.159031640131        2787361.015909004         -1211537.743921794        57736.92523100697         
-8337.474983135871        2795794.289840407         -1215208.301244532        57736.95648100697         
-8349.788055308316        2804227.272559381         -1218878.732145125        57736.98773100697         
-8362.098253089098        2812659.965797837         -1222549.037382725        57737.01898100697         
-8374.405581411547        2821092.371272014         -1226219.217709662        57737.05023100697         
-8386.71004516384         2829524.490682663         -1229889.273871522        57737.08148100697         
-8399.011649223223        2837956.325715241         -1233559.206607228        57737.11273100697         
-8411.310398441559        2846387.878040082         -1237229.016649119        57737.14398100697         
-8423.606297679495        2854819.149312586         -1240898.70472303         57737.17523100697         
-8435.899351759548        2863250.141173401         -1244568.271548366        57737.20648100697         
-8448.189565500235        2871680.855248584         -1248237.717838181        57737.23773100697         
-8460.476943701553        2880111.293149794         -1251907.044299249        57737.26898100697         
-8472.761491178993        2888541.456474439         -1255576.25163214         57737.30023100697         
-8485.043212716659        2896971.346805867         -1259245.340531293        57737.33148100697         
-8497.322113101225        2905400.965713513         -1262914.311685086        57737.36273100697         
-8509.598197107394        2913830.314753075         -1266583.165775905        57737.39398100697         
-8521.871469531761        2922259.395466664         -1270251.903480216        57737.42523100697         
-8534.141935145934        2930688.209382969         -1273920.525468635        57737.45648100697         
-8546.409598730364        2939116.758017416         -1277589.03240599         57737.48773100697         
-8558.674465059763        2947545.042872314         -1281257.424951392        57737.51898100697         
-8570.936538936772        2955973.065437006         -1284925.703758295        57737.55023100697         
-8583.195825145191        2964400.827188027         -1288593.86947457         57737.58148100697         
-8595.452328483594        2972828.329589248         -1292261.922742559        57737.61273100697         
-8607.706053750764        2981255.574092016         -1295929.864199142        57737.64398100697         
-8619.957005779121        2989682.562135302         -1299597.6944758          57737.67523100697         
-8632.205189388082        2998109.295145841         -1303265.414198673        57737.70648100697         
-8644.450609417501        3006535.774538273         -1306933.023988622        57737.73773100697         
-8656.693270713058        3014962.001715279         -1310600.524461287        57737.76898100697         
-8668.933178159472        3023387.978067709         -1314267.916227146        57737.80023100697         
-8681.170336634039        3031813.70497473          -1317935.199891574        57737.83148100697         
-8693.404751039821        3040239.183803948         -1321602.376054899        57737.86273100697         
-8705.636426291061        3048664.415911538         -1325269.445312453        57737.89398100697         
-8717.865367346119        3057089.402642369         -1328936.408254637        57737.92523100697         
-8730.091579161237        3065514.145330143         -1332603.265466968        57737.95648100697         
-8742.315066723464        3073938.645297505         -1336270.017530134        57737.98773100697         
-8754.535835036108        3082362.903856175         -1339936.665020049        57738.01898100697         
-8766.75388915135         3090786.922307061         -1343603.208507905        57738.05023100697         
-8778.969234124312        3099210.701940387         -1347269.648560221        57738.08148100697         
-8791.18187504566         3107634.244035804         -1350935.985738896        57738.11273100697         
-8803.391817027124        3116057.549862514         -1354602.220601259        57738.14398100697         
-8815.59906523376         3124480.62067937          -1358268.353700119        57738.17523100697         
-8827.803624838374        3132903.457735006         -1361934.385583811        57738.20648100697         
-8840.005501053758        3141326.06226794          -1365600.316796248        57738.23773100697         
-8852.204699118303        3149748.435506687         -1369266.147876965        57738.26898100697         
-8864.401224327899        3158170.578669856         -1372931.879361169        57738.30023100697         
-8876.595081990705        3166592.492966277         -1376597.511779785        57738.33148100697         
-8888.786277459058        3175014.179595092         -1380263.045659496        57738.36273100697         
-8900.97481611516         3183435.639745868         -1383928.481522796        57738.39398100697         
-8913.160703402576        3191856.874598684         -1387593.819888031        57738.42523100697         
-8925.343944781431        3200277.885324257         -1391259.06126944         57738.45648100697         
-8937.524545759945        3208698.673084023         -1394924.206177203        57738.48773100697         
-8949.702511880179        3217119.239030247         -1398589.255117482        57738.51898100697         
-8961.877848749158        3225539.584306104         -1402254.208592462        57738.55023100697         
-8974.05056199452         3233959.710045799         -1405919.067100393        57738.58148100697         
-8986.220657295602        3242379.617374646         -1409583.831135633        57738.61273100697         
